year,month,day,dayoftheweek,time,type1,type2,type3,title,eventtitle,prefecture,place,with,info
2019,3,14,木,,リリース,その他,トレーディングカード,Yuica もしも小倉 唯がカードになったら,,,,ブシロードメディア,
2019,3,17,日,12:00,特典会,CD,アルバム,ホップ・ステップ・アップル,,大阪,アニメイト大阪日本橋,アニメイト,
2019,3,17,日,16:30,特典会,CD,アルバム,ホップ・ステップ・アップル,,愛知,某所,ゲーマーズ,
2019,3,20,水,,リリース,書籍,パーソナルブック,yui-itsu,,,,主婦の友社,
2019,3,31,日,12:30,特典会,CD,アルバム,ホップ・ステップ・アップル,,東京,某所,アニメイト,
2019,3,31,日,14:30,特典会,CD,アルバム,ホップ・ステップ・アップル,,東京,某所,アニメイト,
2019,3,31,日,16:30,特典会,CD,アルバム,ホップ・ステップ・アップル,,東京,某所,ゲーマーズ・とらのあな,
2019,4,6,土,,ライブ,ワンマン,ツアー,Step Apple,,大阪,オリックス劇場,,
2019,4,7,日,,ライブ,ワンマン,ツアー,Step Apple,,滋賀,滋賀県立芸術劇場 びわ湖ホール,,
2019,4,14,日,,ライブ,ワンマン,ツアー,Step Apple,,愛知,一宮市民会館,,
2019,4,21,日,,ライブ,ワンマン,ツアー,Step Apple,,新潟,新潟テルサ,,
2019,4,28,日,,ライブ,ワンマン,ツアー,Step Apple,,宮城,仙台サンプラザ,,
2019,5,3,金,,ライブ,ワンマン,ツアー,Step Apple,,千葉,幕張メッセ,,
2019,5,4,土,,ライブ,ワンマン,ツアー,Step Apple,,千葉,幕張メッセ,,
2019,5,18,土,,イベント,公開録音,,「小倉唯のyui*room」公開録音,放送100回目,東京,神田明神ホール,封入シリアルコード,
2019,5,18,土,,イベント,公開録音,,「小倉唯のyui*room」公開録音,放送101回目,東京,神田明神ホール,封入シリアルコード,
2019,5,19,日,XX:XX,特典会,書籍,写真集,小倉唯パーソナルブック,,東京,アニメイト池袋本店,アニメイト,
2019,8,7,水,,リリース,DVD,,小倉唯 LIVE 2019「Step Apple」,,,,,
2019,8,15,木,,ライブ,その他,,「Step Apple」Blu-ray＆DVD発売記念イベント,昼公演,東京,ヒューリックホール東京,,
2019,8,15,木,,ライブ,その他,,「Step Apple」Blu-ray＆DVD発売記念イベント,夜公演,東京,ヒューリックホール東京,,
2019,8,15,木,,歩み,FC,,ファンクラブ名を「Yui's＊Company.」に変更,,,,,
2019,9,1,日,,ライブ,フェス,アニサマ,Animelo Summer Live 2019,,埼玉,さいたまスーパーアリーナ,,
2019,10,6,日,,イベント,学園祭,,専修大学神田鳳祭「小倉唯のはじめまして学園祭！in専修大学」,,東京,専修大学神田キャンパス,,
2019,10,20,日,,イベント,学園祭,,奈良県立医科大学白橿生祭 小倉唯トークショー,,奈良,奈良県立医科大学,,
2019,10,26,土,,ライブ,フェス,,ANIMAX MUSIX 2019 KOBE,,兵庫,神戸ワールド記念ホール,,
2019,10,30,水,,リリース,CD,シングル,Destiny,,,,,
2019,11,23,土,12:00,特典会,CD,シングル,Destiny,,愛知,某所,アニメイト,
2019,11,23,土,16:30,特典会,CD,シングル,Destiny,,大阪,animate O.N.SQUARE,アニメイト,
2019,11,24,日,12:30,特典会,CD,シングル,Destiny,,東京,某所,アニメイト,
2019,11,24,日,14:30,特典会,CD,シングル,Destiny,,東京,某所,アニメイト,
2019,11,24,日,16:30,特典会,CD,シングル,Destiny,,東京,某所,ゲーマーズ・とらのあな,
2019,12,1,日,14:00,特典会,CD,シングル,Destiny,,福岡,某所,ゲーマーズ,
2020,1,3,金,,イベント,社員総会,,New Year Party♪2020,昼公演,千葉,舞浜アンフィシアター,,
2020,1,3,金,,イベント,社員総会,,New Year Party♪2020,夜公演,千葉,舞浜アンフィシアター,,
2020,2,9,日,,ライブ,フェス,,リスアニ! LIVE 2020,,千葉,幕張メッセ,,
2020,2,12,水,,リリース,CD,シングル,I・LOVE・YOU!!,,,,,
